"Gene","Cluster","logFC","pValue","padj"
"V3070",1,0.980096563848675,0.00276587377084947,0.050108885414346
"V36423",2,0.968567125809322,0.00277080744100336,0.050108885414346
"V4925",1,0.967763418565998,0.00278284873957705,0.050108885414346
"V32314",1,0.976385295860897,0.00278475924339557,0.050108885414346
"V39157",2,0.954288805428281,0.00279520275912097,0.050108885414346
"V10660",2,0.970546076354179,0.00280338765988748,0.050108885414346
"V29460",1,0.971467122433513,0.00281612344995244,0.050108885414346
"V41639",1,0.958474824635006,0.00282072355971853,0.050108885414346
"V33416",2,0.939332928954438,0.00283174811182035,0.050108885414346
"V16072",2,0.96256465225938,0.0028431879890746,0.050108885414346
"V26480",1,0.974359645787794,0.00284330182558132,0.050108885414346
"V3143",1,0.975217202515242,0.00285212181872379,0.050108885414346
"V35597",2,0.949656997708916,0.00285888115592814,0.050108885414346
"V7292",1,0.980669321541943,0.00286441934696942,0.050108885414346
"V2388",2,0.974257625166463,0.00286539755621836,0.050108885414346
"V4331",1,0.971630983506106,0.00286980120874745,0.050108885414346
"V5070",3,0.982240566811196,0.00288962549867014,0.050108885414346
"V17417",2,0.965752460086153,0.00289736992033622,0.050108885414346
"V37690",3,0.97304004460825,0.00290321484786007,0.050108885414346
"V39551",1,0.980965763367189,0.0029069406723898,0.050108885414346
"V28061",1,0.969510443850484,0.00291195079590369,0.050108885414346
"V33746",2,0.974732107969984,0.00291647665850574,0.050108885414346
"V42836",2,0.960016301141003,0.00291984027458839,0.050108885414346
"V36774",1,0.958792984021648,0.00292512980485808,0.050108885414346
"V42687",2,0.954447069453606,0.00293199188370868,0.050108885414346
"V23801",1,0.972869380795777,0.00293318881442282,0.050108885414346
"V25720",2,0.959837021599386,0.00293794689523142,0.050108885414346
"V23446",2,0.966549058234687,0.00294020047122482,0.050108885414346
"V11765",3,1.0234973670641,0.00296262661677203,0.050108885414346
"V41281",2,0.970631458386649,0.0029630631902811,0.050108885414346
"V43377",2,0.966304450312855,0.00298184265627931,0.050108885414346
"V33938",2,0.967262056662831,0.00298499150682709,0.050108885414346
"V29280",1,0.970638030961402,0.00299366145671808,0.050108885414346
"V21650",1,0.981264653594858,0.00300206207310897,0.050108885414346
"V25598",1,0.974232715593726,0.00301351654166316,0.050108885414346
"V27349",1,0.978661388711748,0.00302456745675763,0.050108885414346
"V21507",2,0.956814699404472,0.00302726779529144,0.050108885414346
"V32587",1,0.966364801796768,0.0030685736034073,0.050108885414346
"V5042",2,0.970456500993127,0.00307017189921291,0.050108885414346
"V35984",2,0.955871073039964,0.00307512211363817,0.050108885414346
"V33189",1,0.969622470661464,0.003087603736981,0.050108885414346
"V42551",1,0.974557534888393,0.00308926246190844,0.050108885414346
"V44772",1,0.962177366963701,0.0030993027907117,0.050108885414346
"V8063",1,0.957939159953198,0.00310894383481725,0.050108885414346
"V15185",2,0.96941210212942,0.00312180656228882,0.050108885414346
"V18700",1,0.973221797415509,0.0031373288642488,0.050108885414346
"V34290",3,0.979117595799043,0.00314198401099887,0.050108885414346
"V12079",2,0.953011503476038,0.00314225379014638,0.050108885414346
"V15884",3,0.987920274745737,0.00314648517302537,0.050108885414346
"V23405",1,0.9681058161282,0.00314977072010998,0.050108885414346
"V19597",1,0.980946675349202,0.00316441456488791,0.050108885414346
"V10988",3,0.968288077360965,0.00316576192443451,0.050108885414346
